#Organism/Name	Kingdom	Group	SubGroup	Size (Mb)	Chrs	Organelles	Plasmids	BioProjects
'Brassica napus' phytoplasma	Bacteria	Terrabacteria group	Mycoplasmatota	0.743598	-	-	-	1
'Catharanthus roseus' aster yellows phytoplasma	Bacteria	Terrabacteria group	Mycoplasmatota	0.603949	1	-	1	1
'Chrysanthemum coronarium' phytoplasma	Bacteria	Terrabacteria group	Mycoplasmatota	0.739592	-	-	-	1
'Conium maculatum' witches'-broom phytoplasma	Bacteria	Terrabacteria group	Mycoplasmatota	0.758186	-	-	-	1
'Cynodon dactylon' phytoplasma	Bacteria	Terrabacteria group	Mycoplasmatota	0.483935	-	-	-	1
'Elaeagnus angustifolia' witches'-broom phytoplasma	Bacteria	Terrabacteria group	Mycoplasmatota	0.833199	-	-	-	1
'Fragaria x ananassa' phyllody phytoplasma	Bacteria	Terrabacteria group	Mycoplasmatota	0.627584	-	-	-	1
'Osedax' symbiont bacterium Rs2_46_30_T18	Bacteria	unclassified Bacteria	Osedax symbiont bacterium Rs2_46_30_T18	4.02183	-	-	-	1
'Prunus persica' phytoplasma PP2	Bacteria	Terrabacteria group	Mycoplasmatota	0.228345	-	-	-	1
'Santalum album' aster yellows phytoplasma	Bacteria	Terrabacteria group	Mycoplasmatota	0.554025	-	-	-	1
'Vigna radiata' phytoplasma	Bacteria	Terrabacteria group	Mycoplasmatota	0.58858	-	-	-	1
aalivirus A1	Viruses	Other	Picornaviridae	0.008976	1	-	-	1
Aaosphaeria arxii	Eukaryota	Fungi	Ascomycetes	38.901	-	-	-	1
Aaosphaeria pasadenensis	Eukaryota	Fungi	Ascomycetes	38.7974	-	-	-	1
Abalone herpesvirus Taiwan/2004	Viruses	Other	Other	0.043883	1	-	-	1
Abalone herpesvirus Victoria/AUS/2009	Viruses	Other	Malacoherpesviridae	0.211518	1	-	-	1
Abalone shriveling syndrome-associated virus	Viruses	Other	Other	0.034952	1	-	-	1
Abditibacteriaceae bacterium	Bacteria	Terrabacteria group	Abditibacteriota	6.65216	-	-	-	11
Abditibacteriales bacterium	Bacteria	Terrabacteria group	Abditibacteriota	5.12906	-	-	-	2
Abditibacteriia bacterium	Bacteria	Terrabacteria group	Abditibacteriota	5.03034	-	-	-	1
Abditibacteriota bacterium	Bacteria	Terrabacteria group	Abditibacteriota	7.53356	1	-	1	11
Abditibacterium utsteinense	Bacteria	Terrabacteria group	Abditibacteriota	3.60633	-	-	-	1
Abelmoschus esculentus	Eukaryota	Plants	Land Plants	1194.6	-	-	-	1
Abelson murine leukemia virus	Viruses	Other	Retroviridae	0.005894	1	-	-	1
Abeoforma parvovirus	Viruses	Other	Parvoviridae	0.003411	1	-	-	1
Abeoforma whisleri	Eukaryota	Protists	Other Protists	101.554	-	-	-	1
Abiotrophia	Bacteria	Terrabacteria group	Bacillota	2.06016	-	-	-	24
Abiotrophia defectiva	Bacteria	Terrabacteria group	Bacillota	2.04683	1	-	-	24
Abisara bifasciata	Eukaryota	Animals	Insects	332.742	-	-	-	1
Abisko virus	Viruses	Other	Other	0.010187	1	-	-	1
Abortiporus biennis	Eukaryota	Fungi	Basidiomycetes	33.1186	-	-	-	1
Abramis brama	Eukaryota	Animals	Fishes	1067.4	25	1	-	4
Abrostola tripartita	Eukaryota	Animals	Insects	381.057	31	1	-	2
Abrostola triplasia	Eukaryota	Animals	Insects	362.723	31	1	-	2
Abrus precatorius	Eukaryota	Plants	Land Plants	347.23	-	-	-	1
